Employee_ID,HR_Job_Type,HR_Location,Hire_Date,Termination_Date
9001814,Correctional,Epsilon,2011-01-12,NA
9001815,Correctional,Epsilon,2011-01-12,NA
9001818,Correctional,Gamma,2011-01-12,NA
9001820,Correctional Supervisor,Delta,2015-03-16,NA
9001821,Correctional,Delta,2011-01-12,NA
9001823,Correctional,Delta,2011-01-12,NA
9001825,Correctional,Epsilon,2011-01-12,NA
9001827,Correctional,Alpha,2011-01-12,NA
9001834,Correctional,Delta,2011-01-12,NA
9001836,Correctional,Epsilon,2011-01-12,NA
9001837,Correctional,Beta,2012-06-01,NA
9001842,Correctional,Alpha,2011-01-12,NA
9001845,Correctional Supervisor,Gamma,2011-01-12,NA
9001846,Correctional,Delta,2011-01-12,NA
9001848,Correctional,Gamma,2011-01-12,NA
9001853,Correctional,Alpha,2007-06-15,NA
9001856,Correctional,Delta,2017-10-16,NA
9001868,Correctional,Epsilon,2011-01-12,NA
9001871,Correctional Supervisor,Beta,2011-01-12,NA
9001884,Correctional,Epsilon,2011-01-12,NA
9001887,Correctional,Beta,2011-01-12,NA
9001890,Correctional,Beta,2011-01-12,NA
9001892,Correctional,Delta,2011-01-12,NA
9001895,Correctional,Epsilon,2011-01-12,NA
9001898,Correctional,Epsilon,2011-01-12,NA
9001901,Correctional Supervisor,Delta,2011-01-12,NA
9001904,Correctional,Beta,2011-01-12,NA
9001908,Correctional,Gamma,2013-03-01,NA
9001909,Correctional,Epsilon,2011-01-12,NA
9001910,Correctional,Gamma,2011-01-12,NA
9001915,Correctional Supervisor,Beta,2018-04-16,NA
9001918,Correctional,Epsilon,2011-01-12,NA
9001921,Correctional,Delta,2011-01-12,NA
9001923,Correctional,Gamma,2018-11-01,NA
9001925,Correctional,Gamma,2011-01-12,NA
9001926,Correctional,Alpha,2011-01-12,NA
9001927,Correctional,Alpha,2011-01-12,NA
9001928,Correctional,Alpha,2011-01-12,NA
9001932,Correctional,Alpha,2011-01-12,NA
9001933,Correctional Supervisor,Gamma,2011-01-12,NA
9001934,Correctional,Epsilon,2011-01-12,NA
9001936,Correctional,Delta,2011-01-12,NA
9001947,Correctional,Gamma,2011-01-12,NA
9001948,Correctional Supervisor,Gamma,2011-01-12,NA
9001953,Correctional,Delta,2014-11-17,NA
9001954,Correctional,Gamma,2015-11-01,NA
9001958,Correctional,Beta,2011-01-12,NA
9001961,Correctional,Epsilon,2011-01-12,NA
9001962,Correctional,Alpha,2011-01-12,NA
9001964,Correctional,Gamma,2011-01-12,NA
9001965,Correctional Supervisor,Epsilon,2008-06-09,NA
9001981,Correctional,Gamma,2011-01-12,NA
9001986,Correctional,Epsilon,2015-01-01,NA
9001988,Correctional,Epsilon,2011-01-12,NA
9001991,Correctional,Beta,2011-01-12,NA
9001992,Correctional,Epsilon,2011-01-12,NA
9001996,Correctional,Alpha,2011-01-12,NA
9001997,Correctional,Gamma,2011-01-12,NA
9001999,Correctional,Gamma,2011-01-12,NA
9002000,Correctional,Gamma,2011-01-12,NA
9002002,Correctional,Delta,2011-01-12,NA
9002006,Correctional,Gamma,2017-02-01,NA
9002010,Correctional,Beta,2011-01-12,NA
9002011,Correctional,Delta,2011-01-12,NA
9002013,Correctional,Gamma,2011-01-12,NA
9002017,Correctional,Epsilon,2011-01-12,NA
9002018,Correctional,Gamma,2011-01-12,NA
9002019,Correctional,Gamma,2015-07-15,NA
9002020,Correctional,Gamma,2011-01-12,NA
9002021,Correctional,Gamma,2011-01-12,NA
9002023,Correctional,Epsilon,2017-11-01,NA
9002028,Correctional,Gamma,2011-01-12,NA
9002030,Correctional,Epsilon,2011-01-12,NA
9002036,Correctional,Delta,2011-01-12,NA
9002037,Correctional,Gamma,2011-01-12,NA
9002041,Correctional,Gamma,2011-01-12,NA
9002044,Correctional,Beta,2013-08-15,NA
9002047,Correctional,Delta,2014-07-15,NA
9002048,Correctional,Delta,2011-01-12,NA
9002049,Correctional,Delta,2011-01-12,NA
9002050,Correctional,Gamma,2014-04-01,NA
9002051,Correctional,Beta,2011-01-12,NA
9002052,Correctional,Beta,2015-09-01,NA
9002054,Correctional,Delta,2016-05-01,NA
9002055,Correctional,Beta,2011-01-12,NA
9002056,Correctional,Delta,2016-02-01,NA
9002057,Correctional,Beta,2011-01-12,NA
9002061,Correctional,Alpha,2011-01-12,NA
9002062,Correctional,Alpha,2011-01-12,NA
9002063,Correctional,Beta,2011-01-12,NA
9002069,Correctional,Beta,2011-01-12,NA
9002070,Correctional,Gamma,2013-11-01,NA
9002073,Correctional Supervisor,Beta,2011-01-12,NA
9002085,Correctional Supervisor,Gamma,2011-01-12,NA
9002089,Correctional Supervisor,Beta,2011-01-12,NA
9002099,Correctional,Gamma,2011-01-12,NA
9002101,Correctional,Delta,2017-02-01,NA
9002108,Correctional,Epsilon,2012-04-01,NA
9002109,Correctional,Gamma,2013-09-01,NA
9002115,Correctional,Epsilon,2011-01-12,NA
9002128,Correctional,Gamma,2016-05-01,NA
9002133,Correctional,Beta,2011-01-12,NA
9002136,Correctional,Gamma,2011-01-12,NA
9002137,Correctional,Gamma,2016-06-01,NA
9002138,Correctional,Gamma,2017-04-01,NA
9002139,Correctional,Delta,2011-01-12,NA
9002140,Correctional,Delta,2011-01-12,NA
9002143,Correctional,Delta,2011-01-12,NA
9002148,Correctional,Beta,2011-01-12,NA
9002149,Correctional,Delta,2016-02-01,NA
9002156,Correctional Supervisor,Epsilon,2011-01-12,NA
9002158,Correctional,Alpha,2011-01-12,NA
9002165,Correctional,Gamma,2011-01-12,NA
9002170,Correctional,Alpha,2011-01-12,NA
9002172,Correctional,Gamma,2011-01-12,NA
9002173,Correctional,Beta,2011-01-12,NA
9002174,Correctional Supervisor,Gamma,2015-05-15,NA
9002175,Correctional Supervisor,Epsilon,2011-01-12,NA
9002176,Correctional,Delta,2011-01-12,NA
9002177,Correctional,Beta,2011-01-12,NA
9002179,Correctional Supervisor,Epsilon,2011-01-12,NA
9002182,Correctional,Beta,2013-07-15,NA
9002184,Correctional,Beta,2013-03-15,NA
9002187,Correctional,Beta,2011-01-12,NA
9002189,Correctional,Gamma,2011-01-12,NA
9002191,Correctional,Gamma,2012-10-15,NA
9002192,Correctional,Gamma,2011-01-12,NA
9002193,Correctional,Gamma,2018-04-01,NA
9002195,Correctional,Alpha,2011-01-12,NA
9002196,Correctional Supervisor,Alpha,2011-01-12,NA
9002197,Correctional Supervisor,Alpha,2011-01-12,NA
9002198,Correctional,Alpha,2011-01-12,NA
9002199,Correctional,Gamma,2011-01-12,NA
9002200,Correctional,Gamma,2016-07-01,NA
9002205,Correctional,Gamma,2011-01-12,NA
9002211,Correctional,Alpha,2011-01-12,NA
9002236,Correctional,Beta,2011-01-12,NA
9002238,Correctional,Beta,2012-01-01,NA
9002242,Correctional,Gamma,2012-01-17,NA
9002245,Correctional,Delta,2012-01-17,NA
9002247,Correctional,Delta,2012-01-17,NA
9002248,Correctional Supervisor,Delta,2012-02-01,NA
9002249,Correctional,Alpha,2012-02-01,NA
9002250,Correctional,Delta,2012-02-01,NA
9002251,Correctional Supervisor,Gamma,2015-05-15,NA
9002253,Correctional,Beta,2012-02-15,NA
9002257,Correctional,Beta,2012-03-01,NA
9002261,Correctional,Alpha,2013-02-01,NA
